;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
162,3.80393e+06,-21.0756,-7.65875
163,4.00251e+06,-21.0513,-6.65985
164,4.21146e+06,-21.0315,-6.23301
165,4.43132e+06,-20.9823,-5.17699
166,4.66266e+06,-20.9438,-4.87337
167,4.90607e+06,-20.9117,-4.04714
168,5.16219e+06,-20.8679,-3.59334
169,5.43168e+06,-20.8351,-2.77922
170,5.71524e+06,-20.7827,-2.3958
171,6.0136e+06,-20.7499,-2.30731
172,6.32754e+06,-20.7079,-1.68793
173,6.65786e+06,-20.6666,-1.51208
174,7.00543e+06,-20.6278,-1.35074
175,7.37115e+06,-20.5908,-1.12356
176,7.75596e+06,-20.547,-0.810665
177,8.16085e+06,-20.5105,-0.586624
178,8.58689e+06,-20.4706,-0.461762
179,9.03516e+06,-20.4513,-0.125002
180,9.50684e+06,-20.4299,-0.0608013
181,1.00031e+07,-20.4217,-0.075599
182,1.05254e+07,-20.3796,-0.116791
183,1.10748e+07,-20.36,0.0639535
184,1.1653e+07,-20.3385,0.173923
185,1.22613e+07,-20.3436,0.367698
186,1.29014e+07,-20.3444,0.134622
187,1.35749e+07,-20.3347,0.168477
188,1.42836e+07,-20.3429,0.276094
189,1.50293e+07,-20.3485,0.664165
190,1.58139e+07,-20.3507,0.611672
191,1.66394e+07,-20.354,0.611174
192,1.75081e+07,-20.3593,0.978415
193,1.84221e+07,-20.3824,0.606776
194,1.93838e+07,-20.3894,1.22407
195,2.03957e+07,-20.4208,1.32725
196,2.14605e+07,-20.4439,1.68155
197,2.25808e+07,-20.416,2.05583
198,2.37596e+07,-20.3757,2.67142
199,2.5e+07,-20.2574,2.62546
