;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
169,-0.01431,1.71604,0.574575
170,-0.0143,1.71604,0.579336
171,-0.01429,1.71604,0.580923
172,-0.01428,1.71604,0.587271
173,-0.01427,1.71604,0.590446
174,-0.01426,1.71604,0.59362
175,-0.01425,1.71604,0.596794
176,-0.01424,1.71604,0.604729
177,-0.01423,1.71604,0.607903
178,-0.01422,1.71604,0.612664
179,-0.01421,1.71604,0.615838
180,-0.0142,1.71604,0.617425
181,-0.01419,1.73274,0.623774
182,-0.01418,1.73274,0.626948
183,-0.01417,1.73274,0.633296
184,-0.01416,1.73274,0.634883
185,-0.01415,1.73274,0.641231
186,-0.01414,1.73274,0.642818
187,-0.01413,1.73274,0.649166
188,-0.01412,1.73274,0.65234
189,-0.01411,1.74944,0.657102
190,-0.0141,1.73274,0.661863
191,-0.01409,1.73274,0.665037
192,-0.01408,1.73274,0.669798
193,-0.01407,1.73274,0.671385
194,-0.01406,1.73274,0.677733
195,-0.01405,1.73274,0.682494
196,-0.01404,1.73274,0.687255
197,-0.01403,1.73274,0.690429
198,-0.01402,1.73274,0.693604
199,-0.01401,1.73274,0.696778
200,-0.014,1.73274,0.703126
201,-0.01399,1.73274,0.707887
202,-0.01398,1.73274,0.711061
203,-0.01397,1.73274,0.715822
204,-0.01396,1.73274,0.720583
205,-0.01395,1.73274,0.723757
206,-0.01394,1.73274,0.726932
207,-0.01393,1.73274,0.730106
208,-0.01392,1.73274,0.734867
209,-0.01391,1.73274,0.741215
210,-0.0139,1.74944,0.744389
211,-0.01389,1.74944,0.74915
212,-0.01388,1.74944,0.753911
213,-0.01387,1.74944,0.758672
214,-0.01386,1.74944,0.763434
215,-0.01385,1.76615,0.766608
216,-0.01384,1.73274,0.769782
217,-0.01383,1.74944,0.774543
218,-0.01382,1.74944,0.777717
219,-0.01381,1.74944,0.780891
220,-0.0138,1.74944,0.787239
221,-0.01379,1.74944,0.793588
222,-0.01378,1.74944,0.796762
223,-0.01377,1.74944,0.799936
224,-0.01376,1.74944,0.80311
225,-0.01375,1.74944,0.809458
226,-0.01374,1.74944,0.812632
227,-0.01373,1.74944,0.817393
228,-0.01372,1.74944,0.820567
229,-0.01371,1.74944,0.825328
230,-0.0137,1.74944,0.828502
231,-0.01369,1.74944,0.831677
232,-0.01368,1.74944,0.839612
233,-0.01367,1.74944,0.841199
234,-0.01366,1.74944,0.84596
235,-0.01365,1.78285,0.852308
236,-0.01364,1.74944,0.853895
237,-0.01363,1.76615,0.860243
238,-0.01362,1.74944,0.863418
239,-0.01361,1.76615,0.866592
240,-0.0136,1.78285,0.87294
241,-0.01359,1.74944,0.874527
242,-0.01358,1.74944,0.879288
243,-0.01357,1.76615,0.882462
244,-0.01356,1.76615,0.890397
245,-0.01355,1.76615,0.893571
246,-0.01354,1.76615,0.896746
247,-0.01353,1.76615,0.89992
248,-0.01352,1.76615,0.906268
249,-0.01351,1.76615,0.907855
250,-0.0135,1.76615,0.912616
251,-0.01349,1.76615,0.918964
252,-0.01348,1.76615,0.922138
253,-0.01347,1.76615,0.926899
254,-0.01346,1.76615,0.930073
255,-0.01345,1.76615,0.936422
256,-0.01344,1.76615,0.939596
257,-0.01343,1.76615,0.94277
258,-0.01342,1.76615,0.949118
259,-0.01341,1.76615,0.952292
260,-0.0134,1.76615,0.953879
261,-0.01339,1.76615,0.961814
262,-0.01338,1.76615,0.963401
263,-0.01337,1.76615,0.96975
264,-0.01336,1.76615,0.972924
265,-0.01335,1.76615,0.976098
266,-0.01334,1.76615,0.979272
267,-0.01333,1.78285,0.987207
268,-0.01332,1.78285,0.991968
269,-0.01331,1.78285,0.995142
270,-0.0133,1.78285,0.998316
271,-0.01329,1.78285,1.00308
272,-0.01328,1.78285,1.00466
273,-0.01327,1.78285,1.01101
274,-0.01326,1.78285,1.01577
275,-0.01325,1.79956,1.02054
276,-0.01324,1.76615,1.02212
277,-0.01323,1.78285,1.02847
278,-0.01322,1.78285,1.03006
279,-0.01321,1.78285,1.03641
280,-0.0132,1.78285,1.04117
281,-0.01319,1.78285,1.04593
282,-0.01318,1.78285,1.0491
283,-0.01317,1.78285,1.05228
284,-0.01316,1.78285,1.05545
285,-0.01315,1.78285,1.0618
286,-0.01314,1.78285,1.06656
287,-0.01313,1.78285,1.07132
288,-0.01312,1.78285,1.07132
289,-0.01311,1.78285,1.06656
290,-0.0131,1.78285,1.0618
291,-0.01309,1.78285,1.05545
292,-0.01308,1.78285,1.05228
293,-0.01307,1.78285,1.0491
294,-0.01306,1.78285,1.04593
295,-0.01305,1.78285,1.03958
296,-0.01304,1.78285,1.03641
297,-0.01303,1.78285,1.03006
298,-0.01302,1.78285,1.02688
299,-0.01301,1.76615,1.02371
300,-0.013,1.79956,1.02054
301,-0.01299,1.78285,1.01419
302,-0.01298,1.78285,1.01101
303,-0.01297,1.78285,1.00466
304,-0.01296,1.78285,1.00149
305,-0.01295,1.76615,0.998316
306,-0.01294,1.76615,0.993555
307,-0.01293,1.76615,0.990381
308,-0.01292,1.76615,0.984033
309,-0.01291,1.76615,0.980859
310,-0.0129,1.76615,0.976098
311,-0.01289,1.76615,0.972924
312,-0.01288,1.76615,0.96975
313,-0.01287,1.76615,0.963401
314,-0.01286,1.76615,0.961814
315,-0.01285,1.76615,0.957053
316,-0.01284,1.76615,0.950705
317,-0.01283,1.76615,0.947531
318,-0.01282,1.76615,0.944357
319,-0.01281,1.76615,0.938009
320,-0.0128,1.76615,0.936422
321,-0.01279,1.76615,0.928486
322,-0.01278,1.76615,0.925312
323,-0.01277,1.76615,0.922138
324,-0.01276,1.76615,0.917377
325,-0.01275,1.76615,0.914203
326,-0.01274,1.76615,0.907855
327,-0.01273,1.76615,0.906268
328,-0.01272,1.76615,0.89992
329,-0.01271,1.76615,0.896746
330,-0.0127,1.76615,0.893571
331,-0.01269,1.76615,0.88881
332,-0.01268,1.76615,0.885636
333,-0.01267,1.76615,0.879288
334,-0.01266,1.76615,0.877701
335,-0.01265,1.78285,0.871353
336,-0.01264,1.74944,0.868179
337,-0.01263,1.74944,0.863418
338,-0.01262,1.74944,0.86183
339,-0.01261,1.74944,0.853895
340,-0.0126,1.74944,0.852308
341,-0.01259,1.74944,0.84596
342,-0.01258,1.74944,0.841199
343,-0.01257,1.74944,0.838025
344,-0.01256,1.74944,0.836438
345,-0.01255,1.74944,0.828502
346,-0.01254,1.74944,0.825328
347,-0.01253,1.74944,0.822154
348,-0.01252,1.74944,0.817393
349,-0.01251,1.74944,0.815806
350,-0.0125,1.74944,0.809458
351,-0.01249,1.74944,0.80311
352,-0.01248,1.74944,0.801523
353,-0.01247,1.74944,0.796762
354,-0.01246,1.74944,0.792
355,-0.01245,1.74944,0.788826
356,-0.01244,1.74944,0.784065
357,-0.01243,1.76615,0.779304
358,-0.01242,1.74944,0.77613
359,-0.01241,1.74944,0.771369
360,-0.0124,1.74944,0.768195
361,-0.01239,1.74944,0.763434
362,-0.01238,1.74944,0.76026
363,-0.01237,1.76615,0.753911
364,-0.01236,1.73274,0.750737
365,-0.01235,1.73274,0.745976
366,-0.01234,1.73274,0.742802
367,-0.01233,1.73274,0.738041
368,-0.01232,1.73274,0.73328
369,-0.01231,1.74944,0.728519
370,-0.0123,1.74944,0.725344
371,-0.01229,1.73274,0.720583
372,-0.01228,1.74944,0.717409
373,-0.01227,1.74944,0.712648
374,-0.01226,1.73274,0.709474
375,-0.01225,1.73274,0.704713
376,-0.01224,1.73274,0.698365
377,-0.01223,1.73274,0.695191
378,-0.01222,1.73274,0.692017
379,-0.01221,1.73274,0.688842
380,-0.0122,1.73274,0.684081
381,-0.01219,1.73274,0.680907
382,-0.01218,1.73274,0.672972
383,-0.01217,1.73274,0.671385
384,-0.01216,1.73274,0.668211
385,-0.01215,1.73274,0.661863
386,-0.01214,1.73274,0.658689
387,-0.01213,1.73274,0.655514
388,-0.01212,1.73274,0.650753
389,-0.01211,1.73274,0.645992
390,-0.0121,1.73274,0.641231
391,-0.01209,1.73274,0.638057
392,-0.01208,1.73274,0.634883
393,-0.01207,1.73274,0.630122
394,-0.01206,1.71604,0.625361
395,-0.01205,1.71604,0.620599
396,-0.01204,1.71604,0.617425
397,-0.01203,1.71604,0.614251
398,-0.01202,1.71604,0.60949
399,-0.01201,1.71604,0.606316
400,-0.012,1.71604,0.599968
401,-0.01199,1.71604,0.596794
402,-0.01198,1.71604,0.59362
403,-0.01197,1.71604,0.587271
404,-0.01196,1.71604,0.585684
405,-0.01195,1.71604,0.58251
406,-0.01194,1.71604,0.574575
407,-0.01193,1.71604,0.571401
408,-0.01192,1.71604,0.568227
409,-0.01191,1.71604,0.561879
410,-0.0119,1.71604,0.558705
411,-0.01189,1.71604,0.557118
412,-0.01188,1.71604,0.549182
413,-0.01187,1.71604,0.547595
414,-0.01186,1.68263,0.541247
415,-0.01185,1.68263,0.538073
416,-0.01184,1.68263,0.534899
417,-0.01183,1.68263,0.530138
418,-0.01182,1.68263,0.525377
419,-0.01181,1.68263,0.520616
420,-0.0118,1.68263,0.517441
421,-0.01179,1.71604,0.514267
422,-0.01178,1.71604,0.509506
423,-0.01177,1.68263,0.507919
424,-0.01176,1.68263,0.499984
425,-0.01175,1.68263,0.49681
426,-0.01174,1.68263,0.492049
427,-0.01173,1.68263,0.488875
428,-0.01172,1.68263,0.484113
429,-0.01171,1.68263,0.482526
430,-0.0117,1.68263,0.474591
431,-0.01169,1.68263,0.471417
432,-0.01168,1.68263,0.468243
433,-0.01167,1.68263,0.466656
434,-0.01166,1.71604,0.460308
435,-0.01165,1.66593,0.455547
436,-0.01164,1.66593,0.452373
437,-0.01163,1.66593,0.449198
438,-0.01162,1.66593,0.44285
439,-0.01161,1.66593,0.439676
440,-0.0116,1.66593,0.436502
441,-0.01159,1.66593,0.431741
442,-0.01158,1.66593,0.428567
443,-0.01157,1.66593,0.422219
444,-0.01156,1.66593,0.419045
445,-0.01155,1.66593,0.41587
446,-0.01154,1.66593,0.411109
447,-0.01153,1.66593,0.407935
448,-0.01152,1.66593,0.403174
449,-0.01151,1.66593,0.4
450,-0.0115,1.66593,0.395239
451,-0.01149,1.66593,0.392065
452,-0.01148,1.66593,0.385717
453,-0.01147,1.66593,0.382542
454,-0.01146,1.66593,0.379368
455,-0.01145,1.66593,0.376194
456,-0.01144,1.66593,0.371433
457,-0.01143,1.66593,0.366672
458,-0.01142,1.66593,0.363498
459,-0.01141,1.66593,0.358737
460,-0.0114,1.64922,0.353976
461,-0.01139,1.64922,0.350802
462,-0.01138,1.64922,0.34604
463,-0.01137,1.64922,0.341279
464,-0.01136,1.64922,0.338105
465,-0.01135,1.64922,0.334931
466,-0.01134,1.64922,0.331757
467,-0.01133,1.64922,0.325409
468,-0.01132,1.66593,0.323822
469,-0.01131,1.63252,0.319061
470,-0.0113,1.66593,0.315887
471,-0.01129,1.64922,0.309538
472,-0.01128,1.64922,0.307951
473,-0.01127,1.64922,0.304777
474,-0.01126,1.64922,0.301603
475,-0.01125,1.64922,0.298429
476,-0.01124,1.64922,0.290494
477,-0.01123,1.64922,0.288907
478,-0.01122,1.64922,0.284146
479,-0.01121,1.64922,0.280972
480,-0.0112,1.64922,0.277797
481,-0.01119,1.64922,0.273036
482,-0.01118,1.64922,0.268275
483,-0.01117,1.64922,0.265101
484,-0.01116,1.63252,0.261927
485,-0.01115,1.63252,0.255579
486,-0.01114,1.63252,0.253992
487,-0.01113,1.63252,0.249231
488,-0.01112,1.63252,0.244469
489,-0.01111,1.63252,0.239708
490,-0.0111,1.61581,0.236534
491,-0.01109,1.63252,0.23336
492,-0.01108,1.63252,0.230186
493,-0.01107,1.61581,0.227012
494,-0.01106,1.64922,0.222251
495,-0.01105,1.61581,0.21749
496,-0.01104,1.61581,0.214316
497,-0.01103,1.61581,0.209554
498,-0.01102,1.61581,0.20638
499,-0.01101,1.61581,0.203206
500,-0.011,1.61581,0.200032
501,-0.01099,1.61581,0.196858
502,-0.01098,1.61581,0.192097
503,-0.01097,1.61581,0.188923
504,-0.01096,1.61581,0.182575
505,-0.01095,1.61581,0.182575
506,-0.01094,1.61581,0.176226
507,-0.01093,1.61581,0.174639
508,-0.01092,1.61581,0.166704
509,-0.01091,1.59911,0.165117
510,-0.0109,1.61581,0.161943
511,-0.01089,1.61581,0.158769
512,-0.01088,1.59911,0.152421
513,-0.01087,1.59911,0.149247
514,-0.01086,1.59911,0.14766
515,-0.01085,1.59911,0.141311
516,-0.01084,1.59911,0.138137
517,-0.01083,1.59911,0.134963
518,-0.01082,1.59911,0.131789
519,-0.01081,1.59911,0.128615
520,-0.0108,1.58241,0.125441
521,-0.01079,1.58241,0.12068
522,-0.01078,1.58241,0.12068
523,-0.01077,1.58241,0.114332
524,-0.01076,1.58241,0.111158
525,-0.01075,1.58241,0.106396
526,-0.01074,1.58241,0.103222
527,-0.01073,1.58241,0.103222
528,-0.01072,1.58241,0.0984612
529,-0.01071,1.58241,0.0952871
530,-0.0107,1.5657,0.090526
531,-0.01069,1.5657,0.0873519
532,-0.01068,1.5657,0.0841778
533,-0.01067,1.5657,0.0810037
534,-0.01066,1.5657,0.0778296
535,-0.01065,1.5657,0.0746555
536,-0.01064,1.58241,0.0746555
537,-0.01063,1.549,0.0683073
538,-0.01062,1.549,0.0635462
539,-0.01061,1.549,0.0603721
540,-0.0106,1.549,0.058785
541,-0.01059,1.549,0.055611
