;Scopy version	f4beeb1
;Exported on	Wednesday February 21/02/2024
;Device	M2K
;Nr of samples	3200
;Sample rate	1e+08
;Tool	Oscilloscope
;Additional Information	
Sample	Time(S)	CH1(V)	CH2(V)
0	-7.81e-06	1.25435	1.25849
1	-7.8e-06	1.25711	1.25987
2	-7.79e-06	1.25711	1.25849
3	-7.78e-06	1.25849	1.25987
4	-7.77e-06	1.25573	1.25849
5	-7.76e-06	1.25573	1.25849
6	-7.75e-06	1.25573	1.25987
7	-7.74e-06	1.25849	1.26401
8	-7.73e-06	1.25987	1.25711
9	-7.72e-06	1.25711	1.26539
10	-7.71e-06	1.26539	1.26539
11	-7.7e-06	1.25573	1.25987
12	-7.69e-06	1.25849	1.26539
13	-7.68e-06	1.25711	1.25849
14	-7.67e-06	1.25849	1.26125
15	-7.66e-06	1.25711	1.26401
16	-7.65e-06	1.25711	1.25987
17	-7.64e-06	1.25987	1.25987
18	-7.63e-06	1.25435	1.26125
19	-7.62e-06	1.25573	1.25987
20	-7.61e-06	1.25987	1.26125
21	-7.6e-06	1.25849	1.26125
22	-7.59e-06	1.26125	1.25987
23	-7.58e-06	1.25711	1.26401
24	-7.57e-06	1.25849	1.25849
25	-7.56e-06	1.25849	1.26125
26	-7.55e-06	1.25711	1.25987
27	-7.54e-06	1.25297	1.25435
28	-7.53e-06	1.25849	1.26401
29	-7.52e-06	1.25849	1.26401
30	-7.51e-06	1.25573	1.25849
31	-7.5e-06	1.25987	1.26401
32	-7.49e-06	1.25573	1.25573
33	-7.48e-06	1.25573	1.25849
34	-7.47e-06	1.25849	1.26539
35	-7.46e-06	1.25435	1.25987
36	-7.45e-06	1.25711	1.26125
37	-7.44e-06	1.25849	1.25987
38	-7.43e-06	1.25711	1.26125
39	-7.42e-06	1.25987	1.26401
40	-7.41e-06	1.25573	1.25987
41	-7.4e-06	1.25435	1.25849
42	-7.39e-06	1.25573	1.26125
43	-7.38e-06	1.25849	1.25849
44	-7.37e-06	1.25711	1.26125
45	-7.36e-06	1.25711	1.26125
46	-7.35e-06	1.25435	1.26125
47	-7.34e-06	1.25435	1.25987
48	-7.33e-06	1.25987	1.25987
49	-7.32e-06	1.25849	1.25987
50	-7.31e-06	1.25849	1.26125
51	-7.3e-06	1.25711	1.25849
52	-7.29e-06	1.25987	1.25987
53	-7.28e-06	1.26125	1.26125
54	-7.27e-06	1.26125	1.26539
55	-7.26e-06	1.25987	1.25987
56	-7.25e-06	1.25987	1.25987
57	-7.24e-06	1.25711	1.26125
58	-7.23e-06	1.25573	1.25849
59	-7.22e-06	1.25573	1.26401
60	-7.21e-06	1.25849	1.25987
61	-7.2e-06	1.25987	1.26125
62	-7.19e-06	1.25849	1.26401
63	-7.18e-06	1.25573	1.25849
64	-7.17e-06	1.25849	1.25987
65	-7.16e-06	1.25573	1.25987
66	-7.15e-06	1.25435	1.26125
67	-7.14e-06	1.25711	1.26125
68	-7.13e-06	1.25849	1.26401
69	-7.12e-06	1.25849	1.25849
70	-7.11e-06	1.25987	1.26125
71	-7.1e-06	1.25849	1.25711
72	-7.09e-06	1.25711	1.25987
73	-7.08e-06	1.25711	1.25849
74	-7.07e-06	1.25711	1.26125
75	-7.06e-06	1.25711	1.26539
76	-7.05e-06	1.25711	1.26401
77	-7.04e-06	1.25711	1.25987
78	-7.03e-06	1.25849	1.26125
79	-7.02e-06	1.25711	1.25849
80	-7.01e-06	1.25711	1.26401
81	-7e-06	1.25987	1.25849
82	-6.99e-06	1.25849	1.26125
83	-6.98e-06	1.25987	1.26401
84	-6.97e-06	1.25987	1.25987
85	-6.96e-06	1.25573	1.26125
86	-6.95e-06	1.25987	1.26401
87	-6.94e-06	1.25711	1.25849
88	-6.93e-06	1.25711	1.26401
89	-6.92e-06	1.25573	1.26401
90	-6.91e-06	1.25711	1.25987
91	-6.9e-06	1.25711	1.26401
92	-6.89e-06	1.25987	1.26125
93	-6.88e-06	1.25573	1.26125
94	-6.87e-06	1.25435	1.26401
95	-6.86e-06	1.25849	1.25711
96	-6.85e-06	1.25987	1.25711
97	-6.84e-06	1.25987	1.25849
98	-6.83e-06	1.25573	1.25987
99	-6.82e-06	1.25711	1.26125
100	-6.81e-06	1.25849	1.26125
101	-6.8e-06	1.25711	1.26125
102	-6.79e-06	1.25849	1.26125
103	-6.78e-06	1.25849	1.26125
104	-6.77e-06	1.25435	1.26125
105	-6.76e-06	1.25849	1.25711
106	-6.75e-06	1.25849	1.25849
107	-6.74e-06	1.25711	1.26401
108	-6.73e-06	1.25435	1.25849
109	-6.72e-06	1.25435	1.25987
110	-6.71e-06	1.25711	1.26401
111	-6.7e-06	1.25711	1.25849
112	-6.69e-06	1.25987	1.26125
113	-6.68e-06	1.25849	1.25987
114	-6.67e-06	1.25297	1.26125
115	-6.66e-06	1.25573	1.26401
116	-6.65e-06	1.25987	1.25987
117	-6.64e-06	1.25849	1.25987
118	-6.63e-06	1.25987	1.26401
119	-6.62e-06	1.25849	1.25987
120	-6.61e-06	1.26125	1.26125
121	-6.6e-06	1.25849	1.26125
122	-6.59e-06	1.25987	1.26125
123	-6.58e-06	1.25573	1.26125
124	-6.57e-06	1.25711	1.25987
125	-6.56e-06	1.25711	1.25987
126	-6.55e-06	1.25849	1.26125
127	-6.54e-06	1.25573	1.25987
128	-6.53e-06	1.25159	1.26125
129	-6.52e-06	1.25435	1.26401
130	-6.51e-06	1.25711	1.26125
131	-6.5e-06	1.25711	1.25987
132	-6.49e-06	1.25297	1.25987
133	-6.48e-06	1.25435	1.26125
134	-6.47e-06	1.25435	1.26401
135	-6.46e-06	1.25711	1.25849
136	-6.45e-06	1.25849	1.25849
137	-6.44e-06	1.25573	1.26401
138	-6.43e-06	1.25711	1.25849
139	-6.42e-06	1.25849	1.25573
140	-6.41e-06	1.25987	1.26815
141	-6.4e-06	1.25573	1.25849
142	-6.39e-06	1.25711	1.26401
143	-6.38e-06	1.25849	1.26539
144	-6.37e-06	1.25297	1.25435
145	-6.36e-06	1.25849	1.26677
146	-6.35e-06	1.25573	1.25849
147	-6.34e-06	1.25297	1.25849
148	-6.33e-06	1.25849	1.26815
149	-6.32e-06	1.25711	1.25849
150	-6.31e-06	1.25849	1.25987
151	-6.3e-06	1.25849	1.26539
152	-6.29e-06	1.25435	1.25711
153	-6.28e-06	1.25573	1.26401
154	-6.27e-06	1.25573	1.26401
155	-6.26e-06	1.25297	1.25711
156	-6.25e-06	1.26125	1.26539
157	-6.24e-06	1.26125	1.25849
158	-6.23e-06	1.25573	1.25987
159	-6.22e-06	1.25849	1.26539
160	-6.21e-06	1.25711	1.25987
161	-6.2e-06	1.25573	1.26125
162	-6.19e-06	1.25711	1.26539
163	-6.18e-06	1.25711	1.25849
164	-6.17e-06	1.25987	1.26125
165	-6.16e-06	1.25573	1.25987
166	-6.15e-06	1.25711	1.25987
167	-6.14e-06	1.25849	1.25987
168	-6.13e-06	1.25849	1.25849
169	-6.12e-06	1.26125	1.25987
170	-6.11e-06	1.25573	1.26125
171	-6.1e-06	1.25573	1.25849
172	-6.09e-06	1.26125	1.25849
173	-6.08e-06	1.25573	1.25849
174	-6.07e-06	1.25711	1.25987
175	-6.06e-06	1.25849	1.26125
176	-6.05e-06	1.25849	1.25849
177	-6.04e-06	1.25849	1.25987
178	-6.03e-06	1.25573	1.25987
179	-6.02e-06	1.25849	1.25987
180	-6.01e-06	1.25987	1.25987
181	-6e-06	1.25159	1.25987
182	-5.99e-06	1.25573	1.26401
183	-5.98e-06	1.25849	1.25849
184	-5.97e-06	1.25849	1.25849
185	-5.96e-06	1.25435	1.26125
186	-5.95e-06	1.26125	1.26401
187	-5.94e-06	1.25435	1.25987
188	-5.93e-06	1.25435	1.25987
189	-5.92e-06	1.25711	1.25987
190	-5.91e-06	1.25849	1.26125
191	-5.9e-06	1.25849	1.26125
192	-5.89e-06	1.25849	1.26125
193	-5.88e-06	1.25021	1.25849
194	-5.87e-06	1.25297	1.26125
195	-5.86e-06	1.25987	1.25849
196	-5.85e-06	1.25573	1.25849
197	-5.84e-06	1.25849	1.25987
198	-5.83e-06	1.25711	1.25849
199	-5.82e-06	1.25435	1.26125
200	-5.81e-06	1.25849	1.26401
201	-5.8e-06	1.25711	1.25987
202	-5.79e-06	1.25573	1.26401
203	-5.78e-06	1.25711	1.26125
204	-5.77e-06	1.26125	1.25711
205	-5.76e-06	1.25849	1.26125
206	-5.75e-06	1.25573	1.26125
207	-5.74e-06	1.26125	1.26125
208	-5.73e-06	1.25849	1.25849
209	-5.72e-06	1.25711	1.25987
210	-5.71e-06	1.25849	1.26401
211	-5.7e-06	1.26125	1.26125
212	-5.69e-06	1.25711	1.25987
213	-5.68e-06	1.25711	1.25711
214	-5.67e-06	1.25711	1.25987
215	-5.66e-06	1.26125	1.25849
216	-5.65e-06	1.25849	1.25987
217	-5.64e-06	1.25435	1.25987
218	-5.63e-06	1.25711	1.26125
219	-5.62e-06	1.25573	1.26125
220	-5.61e-06	1.25711	1.25987
221	-5.6e-06	1.25573	1.25987
222	-5.59e-06	1.25849	1.26125
