;Scopy version	f4beeb1
;Exported on	Wednesday February 21/02/2024
;Device	M2K
;Nr of samples	3200
;Sample rate	1e+08
;Tool	Oscilloscope
;Additional Information	
Sample	Time(S)	CH1(V)	CH2(V)
134	-6.47e-06	1.26168	1.25892
135	-6.46e-06	1.26168	1.2603
136	-6.45e-06	1.2603	1.26168
137	-6.44e-06	1.2603	1.26168
138	-6.43e-06	1.2603	1.26168
139	-6.42e-06	1.2603	1.26168
140	-6.41e-06	1.26168	1.25892
141	-6.4e-06	1.26168	1.2603
142	-6.39e-06	1.26168	1.26168
143	-6.38e-06	1.2603	1.26168
144	-6.37e-06	1.26306	1.26168
145	-6.36e-06	1.26168	1.26168
146	-6.35e-06	1.25892	1.26444
147	-6.34e-06	1.25754	1.26168
148	-6.33e-06	1.26168	1.25892
149	-6.32e-06	1.2603	1.26168
150	-6.31e-06	1.26168	1.26168
151	-6.3e-06	1.26306	1.26168
152	-6.29e-06	1.2603	1.26168
153	-6.28e-06	1.2603	1.26306
154	-6.27e-06	1.26306	1.26444
155	-6.26e-06	1.2603	1.2603
156	-6.25e-06	1.25754	1.2603
157	-6.24e-06	1.25754	1.26168
158	-6.23e-06	1.2603	1.2603
159	-6.22e-06	1.26168	1.26168
160	-6.21e-06	1.25892	1.2603
161	-6.2e-06	1.26306	1.26306
162	-6.19e-06	1.25892	1.26168
163	-6.18e-06	1.25892	1.26168
164	-6.17e-06	1.25892	1.26168
165	-6.16e-06	1.2603	1.26306
166	-6.15e-06	1.2603	1.2603
167	-6.14e-06	1.25892	1.2603
168	-6.13e-06	1.26168	1.2603
169	-6.12e-06	1.26306	1.26444
170	-6.11e-06	1.25892	1.26168
171	-6.1e-06	1.25892	1.26306
172	-6.09e-06	1.25892	1.25892
173	-6.08e-06	1.25754	1.26858
174	-6.07e-06	1.25754	1.26168
175	-6.06e-06	1.2603	1.2603
176	-6.05e-06	1.26858	1.26168
177	-6.04e-06	1.2603	1.2603
178	-6.03e-06	1.2603	1.2603
179	-6.02e-06	1.26168	1.26582
180	-6.01e-06	1.25616	1.2603
181	-6e-06	1.25892	1.26306
182	-5.99e-06	1.25892	1.26306
183	-5.98e-06	1.25892	1.26168
184	-5.97e-06	1.26168	1.26168
185	-5.96e-06	1.2603	1.26168
186	-5.95e-06	1.25892	1.2603
187	-5.94e-06	1.2603	1.26444
188	-5.93e-06	1.25892	1.26168
189	-5.92e-06	1.26168	1.26306
190	-5.91e-06	1.26168	1.26306
191	-5.9e-06	1.26168	1.2603
192	-5.89e-06	1.26168	1.26168
193	-5.88e-06	1.26168	1.2603
194	-5.87e-06	1.25892	1.26444
195	-5.86e-06	1.26168	1.26444
196	-5.85e-06	1.2603	1.26306
197	-5.84e-06	1.2603	1.26306
198	-5.83e-06	1.26168	1.25892
199	-5.82e-06	1.26168	1.2603
200	-5.81e-06	1.25754	1.26168
201	-5.8e-06	1.2603	1.26168
202	-5.79e-06	1.25892	1.26306
203	-5.78e-06	1.25754	1.26168
204	-5.77e-06	1.26168	1.25892
205	-5.76e-06	1.25892	1.26306
206	-5.75e-06	1.25754	1.26306
207	-5.74e-06	1.25892	1.26168
208	-5.73e-06	1.2603	1.25892
209	-5.72e-06	1.26582	1.26306
210	-5.71e-06	1.25892	1.26168
211	-5.7e-06	1.26306	1.26168
212	-5.69e-06	1.25892	1.25892
213	-5.68e-06	1.26306	1.26444
214	-5.67e-06	1.26444	1.26306
215	-5.66e-06	1.2603	1.26306
216	-5.65e-06	1.26444	1.26444
217	-5.64e-06	1.26306	1.26168
218	-5.63e-06	1.26582	1.2603
219	-5.62e-06	1.2603	1.2603
220	-5.61e-06	1.2603	1.26168
221	-5.6e-06	1.25892	1.26582
222	-5.59e-06	1.26168	1.26168
223	-5.58e-06	1.25754	1.25892
224	-5.57e-06	1.26306	1.26306
225	-5.56e-06	1.26168	1.26168
226	-5.55e-06	1.26168	1.2603
227	-5.54e-06	1.26168	1.26168
228	-5.53e-06	1.2603	1.26168
229	-5.52e-06	1.26168	1.26582
230	-5.51e-06	1.26168	1.26306
231	-5.5e-06	1.25892	1.2603
232	-5.49e-06	1.25892	1.26306
233	-5.48e-06	1.25892	1.26306
234	-5.47e-06	1.25892	1.26168
235	-5.46e-06	1.26168	1.26306
236	-5.45e-06	1.2603	1.26168
237	-5.44e-06	1.26306	1.26444
238	-5.43e-06	1.26168	1.26168
239	-5.42e-06	1.2603	1.26168
240	-5.41e-06	1.2603	1.26306
241	-5.4e-06	1.2603	1.26444
242	-5.39e-06	1.26168	1.26306
243	-5.38e-06	1.26168	1.26444
244	-5.37e-06	1.26168	1.26168
245	-5.36e-06	1.2603	1.26306
246	-5.35e-06	1.26306	1.26306
247	-5.34e-06	1.26306	1.2603
248	-5.33e-06	1.25892	1.26306
249	-5.32e-06	1.25892	1.26306
250	-5.31e-06	1.25616	1.26168
251	-5.3e-06	1.26168	1.26444
252	-5.29e-06	1.2603	1.26444
253	-5.28e-06	1.25892	1.26306
254	-5.27e-06	1.25892	1.2603
255	-5.26e-06	1.25754	1.26168
256	-5.25e-06	1.2603	1.2603
257	-5.24e-06	1.26306	1.26306
258	-5.23e-06	1.25754	1.26168
259	-5.22e-06	1.25616	1.26168
260	-5.21e-06	1.2603	1.26168
261	-5.2e-06	1.26306	1.26306
262	-5.19e-06	1.25892	1.2603
263	-5.18e-06	1.2603	1.26168
264	-5.17e-06	1.25754	1.26168
265	-5.16e-06	1.25616	1.26306
266	-5.15e-06	1.25892	1.26444
267	-5.14e-06	1.2603	1.26168
268	-5.13e-06	1.2603	1.26444
269	-5.12e-06	1.25754	1.26168
270	-5.11e-06	1.2603	1.26168
271	-5.1e-06	1.26444	1.26306
272	-5.09e-06	1.26168	1.26444
273	-5.08e-06	1.2603	1.26306
274	-5.07e-06	1.26306	1.26168
275	-5.06e-06	1.2603	1.26168
276	-5.05e-06	1.26306	1.2603
277	-5.04e-06	1.26168	1.2603
278	-5.03e-06	1.2603	1.26168
279	-5.02e-06	1.2603	1.26168
280	-5.01e-06	1.26168	1.25892
281	-5e-06	1.26168	1.2603
282	-4.99e-06	1.26168	1.2603
283	-4.98e-06	1.26444	1.25892
284	-4.97e-06	1.25892	1.2603
285	-4.96e-06	1.25892	1.25892
286	-4.95e-06	1.26168	1.26168
287	-4.94e-06	1.25892	1.26306
288	-4.93e-06	1.26168	1.26168
289	-4.92e-06	1.25754	1.26168
290	-4.91e-06	1.25892	1.26168
291	-4.9e-06	1.2603	1.26168
292	-4.89e-06	1.26444	1.25892
293	-4.88e-06	1.26444	1.26168
294	-4.87e-06	1.26168	1.2603
295	-4.86e-06	1.26444	1.2603
296	-4.85e-06	1.26168	1.2603
297	-4.84e-06	1.2603	1.2603
298	-4.83e-06	1.26168	1.26306
299	-4.82e-06	1.2603	1.2603
300	-4.81e-06	1.26168	1.2603
301	-4.8e-06	1.25892	1.25892
302	-4.79e-06	1.25616	1.2603
303	-4.78e-06	1.25754	1.2603
304	-4.77e-06	1.26168	1.25892
305	-4.76e-06	1.2603	1.26582
306	-4.75e-06	1.26582	1.26444
307	-4.74e-06	1.26168	1.26306
308	-4.73e-06	1.26168	1.26168
309	-4.72e-06	1.25892	1.26168
310	-4.71e-06	1.25892	1.2603
311	-4.7e-06	1.2603	1.26168
312	-4.69e-06	1.2603	1.2603
313	-4.68e-06	1.26168	1.26444
314	-4.67e-06	1.2603	1.26306
315	-4.66e-06	1.26168	1.2603
316	-4.65e-06	1.2603	1.26168
317	-4.64e-06	1.25892	1.26306
318	-4.63e-06	1.25892	1.2603
319	-4.62e-06	1.2603	1.26168
320	-4.61e-06	1.25754	1.2603
321	-4.6e-06	1.2603	1.26168
322	-4.59e-06	1.25754	1.25754
323	-4.58e-06	1.26168	1.2603
324	-4.57e-06	1.26444	1.2603
325	-4.56e-06	1.26168	1.26168
326	-4.55e-06	1.2603	1.26306
327	-4.54e-06	1.26168	1.2603
328	-4.53e-06	1.25892	1.26168
329	-4.52e-06	1.25892	1.26444
330	-4.51e-06	1.25892	1.26168
331	-4.5e-06	1.2603	1.2603
332	-4.49e-06	1.25754	1.2603
333	-4.48e-06	1.25754	1.26168
334	-4.47e-06	1.25754	1.26306
335	-4.46e-06	1.26168	1.26168
336	-4.45e-06	1.25754	1.2603
337	-4.44e-06	1.25754	1.26306
338	-4.43e-06	1.26168	1.26168
339	-4.42e-06	1.25892	1.26444
340	-4.41e-06	1.25754	1.26306
341	-4.4e-06	1.2603	1.26168
342	-4.39e-06	1.2603	1.26306
343	-4.38e-06	1.2603	1.2603
344	-4.37e-06	1.26168	1.2603
345	-4.36e-06	1.25754	1.26306
346	-4.35e-06	1.25478	1.26168
347	-4.34e-06	1.25892	1.26168
348	-4.33e-06	1.26168	1.25892
349	-4.32e-06	1.2603	1.26306
350	-4.31e-06	1.2603	1.26306
351	-4.3e-06	1.2603	1.26168
352	-4.29e-06	1.26306	1.2603
353	-4.28e-06	1.2603	1.26444
354	-4.27e-06	1.2603	1.26444
355	-4.26e-06	1.2603	1.26168
356	-4.25e-06	1.25616	1.26168
357	-4.24e-06	1.26168	1.26306
358	-4.23e-06	1.26168	1.26168
359	-4.22e-06	1.2603	1.2603
360	-4.21e-06	1.26306	1.26168
361	-4.2e-06	1.25754	1.2603
362	-4.19e-06	1.25754	1.26306
363	-4.18e-06	1.26168	1.26168
364	-4.17e-06	1.25754	1.2603
365	-4.16e-06	1.25616	1.26858
366	-4.15e-06	1.25892	1.26306
367	-4.14e-06	1.26168	1.25892
368	-4.13e-06	1.25892	1.26444
369	-4.12e-06	1.25754	1.26168
370	-4.11e-06	1.25478	1.25892
371	-4.1e-06	1.26168	1.2603
372	-4.09e-06	1.2603	1.25754
373	-4.08e-06	1.26168	1.2603
374	-4.07e-06	1.2603	1.26582
375	-4.06e-06	1.25478	1.25892
376	-4.05e-06	1.25754	1.25892
377	-4.04e-06	1.25892	1.26306
378	-4.03e-06	1.25478	1.25478
379	-4.02e-06	1.25892	1.26306
380	-4.01e-06	1.25754	1.26582
381	-4e-06	1.2534	1.26168
382	-3.99e-06	1.26306	1.26444
383	-3.98e-06	1.25892	1.26306
384	-3.97e-06	1.26168	1.25892
385	-3.96e-06	1.25892	1.26306
386	-3.95e-06	1.26168	1.25892
387	-3.94e-06	1.26168	1.2603
388	-3.93e-06	1.25754	1.26306
389	-3.92e-06	1.25892	1.26168
390	-3.91e-06	1.2603	1.2603
391	-3.9e-06	1.26168	1.26168
392	-3.89e-06	1.25754	1.2603
393	-3.88e-06	1.2603	1.26306
394	-3.87e-06	1.25892	1.26306
395	-3.86e-06	1.2603	1.2603
396	-3.85e-06	1.25616	1.26168
397	-3.84e-06	1.25892	1.26444
398	-3.83e-06	1.25754	1.2603
399	-3.82e-06	1.25892	1.26306
400	-3.81e-06	1.2603	1.26168
401	-3.8e-06	1.25892	1.26306
402	-3.79e-06	1.25754	1.26306
403	-3.78e-06	1.25754	1.26168
404	-3.77e-06	1.25754	1.26306
405	-3.76e-06	1.2603	1.26168
406	-3.75e-06	1.25754	1.26168
407	-3.74e-06	1.2603	1.2603
408	-3.73e-06	1.26168	1.26168
409	-3.72e-06	1.25892	1.2603
410	-3.71e-06	1.25754	1.2603
411	-3.7e-06	1.25754	1.2603
412	-3.69e-06	1.25892	1.26168
413	-3.68e-06	1.25892	1.26168
414	-3.67e-06	1.25892	1.26168
415	-3.66e-06	1.25754	1.2603
416	-3.65e-06	1.25754	1.2603
417	-3.64e-06	1.26168	1.26582
418	-3.63e-06	1.2603	1.26306
419	-3.62e-06	1.25892	1.26306
420	-3.61e-06	1.26168	1.26306
421	-3.6e-06	1.26168	1.26168
422	-3.59e-06	1.25892	1.26168
423	-3.58e-06	1.25892	1.26306
424	-3.57e-06	1.25616	1.26168
425	-3.56e-06	1.2603	1.2603
