250,20.1642,178
250.288,20.177,177.843
250.576,20.182,177.942
250.865,20.1815,177.899
251.154,20.171,177.789
251.443,20.1731,177.844
251.733,20.1841,177.799
252.023,20.1741,177.841
252.314,20.1783,177.817
252.604,20.1727,177.796
252.895,20.1673,177.825
253.187,20.1736,177.811
253.478,20.1872,177.785
253.77,20.1732,177.761
254.063,20.1919,177.766
254.356,20.1704,177.749
254.649,20.1833,177.781
254.942,20.1857,177.706
255.236,20.183,177.689
255.53,20.1903,177.744
255.824,20.1757,177.721
256.119,20.1778,177.751
256.414,20.1851,177.69
256.709,20.1798,177.797
257.005,20.1751,177.652
257.301,20.1852,177.674
257.598,20.1761,177.686
257.895,20.1839,177.651
258.192,20.1893,177.616
258.489,20.1877,177.636
258.787,20.185,177.61
259.085,20.1777,177.642
259.384,20.1773,177.632
259.682,20.176,177.676
259.982,20.1907,177.602
260.281,20.1838,177.538
260.581,20.1842,177.576
260.881,20.1768,177.534
261.182,20.1811,177.548
261.483,20.1779,177.537
261.784,20.1803,177.563
262.086,20.1861,177.469
262.388,20.1829,177.571
262.69,20.1791,177.561
262.993,20.1845,177.478
263.296,20.1782,177.568
263.599,20.1965,177.498
263.903,20.1716,177.46
264.207,20.1792,177.475
264.511,20.1793,177.434
264.816,20.1805,177.449
265.121,20.1776,177.507
265.426,20.1744,177.456
265.732,20.1759,177.409
266.038,20.1901,177.416
266.345,20.1956,177.457
266.652,20.1879,177.401
266.959,20.19,177.36
267.266,20.169,177.377
267.574,20.1861,177.448
267.883,20.1886,177.405
268.191,20.1852,177.357
268.5,20.1951,177.357
268.81,20.1765,177.376
269.119,20.1766,177.302
269.429,20.1785,177.34
269.74,20.1689,177.274
270.051,20.1826,177.227
270.362,20.1918,177.255
270.673,20.1791,177.305
270.985,20.1746,177.251
271.297,20.1819,177.231
271.61,20.176,177.25
271.923,20.1884,177.278
272.236,20.1837,177.289
272.55,20.1748,177.224
272.864,20.1882,177.221
273.178,20.1872,177.253
273.493,20.1898,177.17
273.808,20.1755,177.195
274.123,20.1863,177.134
274.439,20.201,177.143
274.755,20.1727,177.127
275.072,20.1867,177.176
275.389,20.1824,177.139
275.706,20.1954,177.173
276.024,20.175,177.046
276.342,20.1799,177.068
276.66,20.1926,177.065
276.979,20.1884,177.069
277.298,20.182,177.17
277.618,20.1877,177.096
277.938,20.1798,177.106
278.258,20.1847,176.974
278.578,20.1846,177.101
278.899,20.1811,177.09
279.221,20.1942,177.002
279.542,20.1758,177.1
279.864,20.1615,177.028
280.187,20.1739,176.982
280.51,20.1851,177.009
280.833,20.1827,177.058
281.156,20.1818,177.012
